kind	class	method	param	index	uri
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterCreate(K,V,long)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterCreate(K,V,long)	value	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterUpdate(K,V,long,long)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterUpdate(K,V,long,long)	value	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterRead(K,V,long,long)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.Expiry	expireAfterRead(K,V,long,long)	value	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Expiry.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoad(K,java.util.concurrent.Executor)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoad(K,java.util.concurrent.Executor)	executor	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
METHOD	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoad(K,java.util.concurrent.Executor)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoadAll(java.lang.Iterable,java.util.concurrent.Executor)	keys	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoadAll(java.lang.Iterable,java.util.concurrent.Executor)	executor	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
METHOD	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncLoadAll(java.lang.Iterable,java.util.concurrent.Executor)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncReload(K,V,java.util.concurrent.Executor)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncReload(K,V,java.util.concurrent.Executor)	oldValue	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncReload(K,V,java.util.concurrent.Executor)	executor	2	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
METHOD	com.github.benmanes.caffeine.cache.AsyncCacheLoader	asyncReload(K,V,java.util.concurrent.Executor)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncCacheLoader.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	getIfPresent(java.lang.Object)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	get(K,java.util.function.Function)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	get(K,java.util.function.Function)	mappingFunction	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	getIfPresent(java.lang.Object)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.Function)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.Function)	mappingFunction	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.Function)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.BiFunction)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.BiFunction)	mappingFunction	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K,java.util.function.BiFunction)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.AsyncLoadingCache	get(K)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	getAll(java.lang.Iterable)	keys	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.AsyncLoadingCache	getAll(java.lang.Iterable)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	put(K,java.util.concurrent.CompletableFuture)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.AsyncLoadingCache	put(K,java.util.concurrent.CompletableFuture)	valueFuture	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.AsyncLoadingCache	synchronous()	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/AsyncLoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.LocalCache	statsCounter()	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
METHOD	com.github.benmanes.caffeine.cache.LocalCache	executor()	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
METHOD	com.github.benmanes.caffeine.cache.LocalCache	expirationTicker()	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
METHOD	com.github.benmanes.caffeine.cache.LocalCache	statsTicker()	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	getIfPresent(java.lang.Object,boolean)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	getIfPresentQuietly(java.lang.Object,long[])	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	getIfPresentQuietly(java.lang.Object,long[])	writeTime	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	getAllPresent(java.lang.Iterable)	keys	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
METHOD	com.github.benmanes.caffeine.cache.LocalCache	getAllPresent(java.lang.Iterable)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	put(K,V,boolean)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LocalCache	put(K,V,boolean)	value	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LoadingCache	get(K)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LoadingCache	getAll(java.lang.Iterable)	keys	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LoadingCache.java
METHOD	com.github.benmanes.caffeine.cache.LoadingCache	getAll(java.lang.Iterable)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.LoadingCache	refresh(K)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LoadingCache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	getIfPresent(java.lang.Object)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	get(K,java.util.function.Function)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	get(K,java.util.function.Function)	mappingFunction	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	getAllPresent(java.lang.Iterable)	keys	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
METHOD	com.github.benmanes.caffeine.cache.Cache	getAllPresent(java.lang.Iterable)	null	null	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	put(K,V)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	put(K,V)	value	1	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	putAll(java.util.Map)	map	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
PARAMETER	com.github.benmanes.caffeine.cache.Cache	invalidate(java.lang.Object)	key	0	/Users/nima/Desktop/annot/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Cache.java
